County,Size
"Ohio County, Indiana",86.14
"Orange County, Indiana",398.39
"Owen County, Indiana",385.29
"Parke County, Indiana",444.66
"Perry County, Indiana",381.73
"Pike County, Indiana",334.24
"Porter County, Indiana",418.15
"Posey County, Indiana",409.57
"Pulaski County, Indiana",433.65
"Putnam County, Indiana",480.53
"Randolph County, Indiana",452.38
"Ripley County, Indiana",446.43
"Rush County, Indiana",408.12
"Scott County, Indiana",190.4
"Shelby County, Indiana",411.15
"Spencer County, Indiana",396.74
"St. Joseph County, Indiana",457.85
"Starke County, Indiana",309.13
"Steuben County, Indiana",308.94
"Sullivan County, Indiana",447.14
"Switzerland County, Indiana",220.63
"Tippecanoe County, Indiana",499.81
"Tipton County, Indiana",260.54
"Union County, Indiana",161.22
"Vanderburgh County, Indiana",233.48
"Vermillion County, Indiana",256.88
"Vigo County, Indiana",403.31
"Wabash County, Indiana",412.43
"Warren County, Indiana",364.68
"Warrick County, Indiana",384.82
"Washington County, Indiana",513.73
"Wayne County, Indiana",401.74
"Wells County, Indiana",368.09
"White County, Indiana",505.13
"Whitley County, Indiana",335.57
"Adair County, Iowa",569.27
"Adams County, Iowa",423.44
"Allamakee County, Iowa",639.08
"Appanoose County, Iowa",497.29
"Audubon County, Iowa",442.96
"Benton County, Iowa",716.27
"Black Hawk County, Iowa",565.77
"Boone County, Iowa",571.57
"Bremer County, Iowa",435.48
"Buchanan County, Iowa",571.02
"Buena Vista County, Iowa",574.92
"Butler County, Iowa",580.13
"Calhoun County, Iowa",569.97
"Carroll County, Iowa",569.44
"Cass County, Iowa",564.27
"Cedar County, Iowa",579.44
"Cerro Gordo County, Iowa",568.31
"Cherokee County, Iowa",576.91
"Chickasaw County, Iowa",504.38
"Clarke County, Iowa",431.17
"Clay County, Iowa",567.24
"Clayton County, Iowa",778.54
"Clinton County, Iowa",694.92
"Crawford County, Iowa",714.19
"Dallas County, Iowa",588.45
"Davis County, Iowa",502.19
"Decatur County, Iowa",531.88
"Delaware County, Iowa",577.76
"Des Moines County, Iowa",416.12
"Dickinson County, Iowa",380.61
"Dubuque County, Iowa",608.31
"Emmet County, Iowa",395.88
"Fayette County, Iowa",730.81
"Floyd County, Iowa",500.63
"Franklin County, Iowa",581.97
"Fremont County, Iowa",511.15
"Greene County, Iowa",569.57
"Grundy County, Iowa",501.86
"Guthrie County, Iowa",590.62
"Hamilton County, Iowa",576.75
"Hancock County, Iowa",571.01
"Hardin County, Iowa",569.31
"Harrison County, Iowa",696.85
